train_name;category;problem;reason;solution;id
2М62,2М62У;Вал дизеля проворачивается, но вспышки в цилиндрах нет;Дизель начинает работать, но при отключении пусковых контакторов останавливается;['Недостаточное давление масла в системе смазки дизеля'];['Проверить уровень масла в дизеле.'];0
2М62,2М62У;Вал дизеля проворачивается, но вспышки в цилиндрах нет;Маслопрокачивающий насос не останавливается по истечении 60 секунд, Д1, Д2, Д3 не включаются.;['Не включилось РДМ3'];['Проверить давление масла по мономеру и уровень масла в картере дизеля.'];1
2М62,2М62У;Вал дизеля проворачивается, но вспышки в цилиндрах нет;При работающем дизеле нет тока зарядки батареи;"[""Перегорел предохранитель ПР-1 '160 А'"", ""Перегорел предохранитель ПР-2 '125 А'""]";['Заменить перегоревшую вставку предохранителя.', 'Заменить перегоревшую вставку предохранителя.'];2
2М62,2М62У;Вал дизеля проворачивается, но вспышки в цилиндрах нет;Рейки топливных насосов не выдвигаются на подачу топлива или выходят медленно;['Отключена подача топлива предельным регулятором.', 'Заедание плунжерной пары какого либо насоса высокого давления.'];['Привести регулятор в рабочее положение.', 'Отключить вышедший из строя топливный насос.'];3
2М62,2М62У;Вал дизеля проворачивается, но вспышки в цилиндрах нет;Шток сервомотора не передвигается и рейки топливных насосов остаются на нулевой подаче;['Не работает пусковой сервомотор'];['Проверить подачу воздуха к ВП7 и исправность вентиля.'];4
2М62,2М62У;Вал дизеля проворачивается, но вспышки в цилиндрах нет;Шток сервомотора регулятора поднимается вверх до отказа, но не передвигает рейки топливных насосов на подачу топлива.;['Не включен предельный регулятор.'];['Привести предельный регулятор в рабочее положение.'];5
2М62,2М62У;Неисправность в цепи датчика контроля целостности тормозной магистрали;Горит контрольная лампа на пульте обрыва 'ТМ';['Проверить целостность ТМ.'];"[""При ложном срабатывании защиты вывести РУ-1 отключением автомата 'УО'.""]";6
2М62,2М62У;Неисправность в цепи зарядки АБ после запуска дизеля;После запуска дизеля отсутствует зарядка АБ (стрелка амперметра на пульте стоит на нулевом давлении);['Перегорел предохранитель АБ на 125А'];['Сменить перегоревший предохранитель.'];7
2М62,2М62У;Неисправность в цепи зарядки АБ после запуска дизеля;После запуска дизеля разряд АБ;['Перегорел предохранитель на 160 А', 'Неисправен БРН по причинам, которые не могут быть устранены в пути следования', 'Неисправен ДЗБ'];['Сменить перегоревший предохранитель.', 'Отсоединить фишку БРН.', 'Если диод ДЗБ пробит, то во время остановки дизеля стрелка амперметра зарядки будет находиться в крайнем левом положении до тех пор пока не перегорит легкоплавкая вставка предохранителя ПР1 на 160А в цепи вспомогательного генератора. В этом случае надо вынуть предохранитель из гнезда и заменить вставку. На место предохранитель можно ставить только после запуска дизеля, а перед каждой остановкой в обязательном порядке вынимать из гнезда.'];8
2М62,2М62У;Неисправность компрессора КТ-7;Давление в ГР повышается выше нормального;['Неисправность 3РД'];['Переключить 3РД с противоположной секции'];9
2М62,2М62У;"При включении на пульте управления автомата ""ТН"" топливный насос не работает";КТН включается;"[""Нарушен контакт между проводами 227 и 249 автомата 'ТН' на ВВК или его выбивает"", 'Вышел из строя электродвигатель топливного насоса.']";"[""Переключить автомат 'ТН' на ВВК несколько раз."", 'Пуск дизеля и следование до станции на аварийном питание топливом.']";10
2М62,2М62У;"При включении на пульте управления автомата ""ТН"" топливный насос не работает";КТН не включаются;"[""Нарушен контакт автомата 'ТН' пульта или его выбивает"", 'Сработало РУ-7']";['Переключить автомат несколько раз.', 'Выяснить причину срабатывания РУ-7. При давлении в картере запуск запрещён.'];11
2М62,2М62У;"При включении на пульте управления автомата ""ТН"" топливный насос не работает";При включении тумблера 'ТН-1' топливоподкачивающий насос не работает.;"['Включено РУ-7', 'Неисправен блок пожарной сигнализации', ""Вышел из строя тумблер 'ТН'"", ""Выбило или не включен автомат 'дизель'.""]";"[""Обесточить РУ-7 отключением автомата 'Дизель'"", 'Взвести общий автомат управления', 'Поставить перемычку между клеммами под пультом 11/1; 2-12/12', 'Включить автомат.']";12
2М62,2М62У;"При включении на пульте управления автомата ""ТН"" топливный насос не работает";Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.;['Попадание воздуха в топливную систему дизеля.'];['Для удаления воздуха из топливной системы включить топливоподкачивающий агрегат, открыть вентиль, на трубе от топливоподкачивающего агрегата, иглы на ФТО.'];13
2М62,2М62У;"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает";Не включилось РУ6;"[""Отключился автомат 'Управление'"", ""Реверсивная рукоятка не переведена в положение 'вперёд' или 'назад'."", 'Контроллер не установлен в нулевое положение.', 'Перегорел предохранитель ПР-3']";"[""Включить автомат 'Управление'."", 'Установить реверсивную рукоятку в рабочее положение.', 'Установить контроллер в нулевое положение.', 'Заменить перегоревший предохранитель ПР3 125 А']";14
2М62,2М62У;"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает";При нажатии кнопки 'ПД' включаются пусковые контакторы без предварительной прокачки масла;['Неисправность РВ1 или реле РДМ3, неправильная их регулировка'];"[""Прокачать масло тумблером 'Прокачка масла'.""]";15
2М62,2М62У;"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает";При нажатии кнопки 'Пуск дизеля' (все нужные автоматы включены) КМН не включается.;"[""Отсутствует питание на шине контролера машиниста, отсутствует контакт автомата 'УО' БУ(367), контакты реверсивного барабана контролера."", 'Отсутствует контакт 4-го пальца контролера машиниста.']";"['Напряжение на шине проверить нажатием на песочницу.', ""Проверить положение КМ, поставить на '0' позицию.""]";16
2М62,2М62У;"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает";При нажатии кнопки 'Пуск дизеля' контактор КМН включается, но маслопрокачивающий насос не работает;"[""Перегорел предохранитель на 125 А в цепи 'ЭД' МН""]";['Заменить перегоревший предохранитель.'];17
2М62,2М62У;"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает";При пуске прокачка масла есть (60-90 сек), но после отключения КМН пусковые контакторы не включаются;['Нарушен контакт или не выведен из зацепления валоповоротный механизм (105 блокировка)'];['Убедиться в отключении валоповоротного механизма.'];18
2М62,2М62У;"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает";Реле РУ6 срабатывает, но не включается реле времени РВ1, РВ2;['Перегорел предохранитель на 125 А в цепи электродвигателя маслопрокачивающего насоса'];['Заменить перегоревший предохранитель.'];19
2М62,2М62У;При установке штурвала контролера на первую позицию тепловоз с места не трогается;В режиме тяги, при переводе контролера с 11 на 12 позицию происходит сброс нагрузки;['Низкое давление масла в системе дизеля менее 2,2 +/- 0,25 кгс/см2', 'Неисправность РДМ2.'];['Следовать в режиме тяги до 11 - ой позиции контролера.', 'Следовать в режиме тяги до 11-ой позиции контролера.'];20
